1/CM,Line_intensity,global upper quanta,global lower quanta,local upper quanta,local lower quanta
1543.876767,2.87e-29,          0 0 0,          0 0 0, 15 10  6      , 14  3 11      
1543.89735,5.554e-24,          0 2 0,          0 1 0,  4  3  2      ,  5  2  3      
1544.004449,5.371e-29,          0 2 0,          0 1 0, 12  6  6      , 13  5  9      
1544.213314,5.941e-30,          0 1 0,          0 0 0, 17 10  8      , 17 11  7      
1544.223278,1.782e-29,          0 1 0,          0 0 0, 17 10  7      , 17 11  6      
1544.360642,1.331e-27,          1 1 0,          1 0 0,  4  1  3      ,  4  2  2      
1544.37103,3.866e-24,          0 1 0,          0 0 0, 10  5  5      , 11  4  8      
1544.38341,7.036e-29,          1 1 0,          0 0 1,  6  2  4      ,  6  2  5      
1544.43506,3.085e-21,          0 1 0,          0 0 0,  9  3  6      ,  9  4  5      
1544.549162,1.24e-27,          0 1 1,          0 0 1,  1  1  1      ,  2  0  2      
1544.70431,1.083e-23,          0 1 0,          0 0 0, 13  4  9      , 13  5  8      
1544.784041,4.574e-27,          1 1 0,          1 0 0,  3  1  2      ,  3  2  1      
1544.872043,1.277e-28,          0 1 1,          1 0 0,  6  2  4      ,  6  4  3      
1544.885619,2.827e-26,          0 2 0,          0 1 0,  8  4  4      ,  9  3  7      
1545.15661,8.351e-20,          0 1 0,          0 0 0,  5  2  3      ,  5  3  2      
1545.171422,4.545e-28,          1 0 0,          0 1 0,  4  2  3      ,  5  5  0      
1545.286995,1.144e-26,          0 1 0,          0 0 0, 16  5 11      , 16  6 10      
1545.478581,1.566e-28,          0 4 0,          0 3 0,  2  1  2      ,  1  0  1      
1545.488753,9.167e-29,          0 1 1,          0 0 1,  2  2  1      ,  3  1  2      
1545.65524,4.168e-21,          0 1 0,          0 0 0,  8  2  6      ,  8  3  5      
1545.80586,3.537e-22,          0 1 0,          0 0 0, 10  3  7      , 10  4  6      
1545.873563,1.089e-28,          0 1 0,          0 0 0, 16 10  7      , 16 11  6      
1545.877268,3.628e-29,          0 1 0,          0 0 0, 16 10  6      , 16 11  5      
1545.92645,2.43e-26,          1 0 0,          0 1 0,  8  0  8      ,  9  3  7      
1546.012823,3.657e-29,          0 1 0,          0 0 0, 19  6 13      , 19  7 12      
1546.369548,2.619e-28,          0 2 0,          0 1 0, 11  6  6      , 12  5  7      
1547.448089,1.95e-28,          0 1 0,          0 0 0, 15 10  6      , 15 11  5      
1547.448923,5.813e-28,          0 1 0,          0 0 0, 15 10  5      , 15 11  4      
1547.8902,2.127e-24,          0 2 0,          0 1 0,  6  1  6      ,  5  2  3      
1547.898486,3.517e-28,          1 0 0,          0 1 0, 10  4  7      , 11  5  6      
1548.090121,6.292e-30,          0 2 0,          0 1 0, 12 10  3      , 12 11  2      
1548.1037,1.755e-25,          0 3 0,          0 2 0,  1  1  0      ,  1  0  1      
1548.216363,6.898e-28,          1 1 0,          1 0 0,  1  1  1      ,  2  0  2      
1548.34723,1.171e-25,          0 1 0,          0 0 0, 13  2 12      , 12  3  9      
1548.612184,2.908e-29,          0 4 0,          0 3 0,  4  1  3      ,  4  0  4      
1548.674849,2.801e-29,          0 4 0,          0 3 0,  5  1  4      ,  4  2  3      
1548.945512,9.033e-28,          0 1 0,          0 0 0, 14 10  4      , 14 11  3      
1548.94656,2.71e-27,          0 1 0,          0 0 0, 14 10  5      , 14 11  4      
